peak_id,peak_name,peak_alternative_name,height_metres,lat,long
KOTA,Kotang,"Kokthang, Kothang Kang",6148,27.5636,88.0825
RATH,Rathong,NA,6682,27.5936,88.0911
KABS,Kabru South,NA,7318,27.6087,88.1115
KABR,Kabru Main,Kabru Central,7412,27.6202,88.1242
BOKT,Boktoh,Bokta,6114,27.6268,88.0209
KABN,Kabru North,NA,7338,27.635,88.1185
TLNG,Talung,NA,7349,27.65,88.1333
JANU,Jannu,Khumbhakarna,7711,27.6824,88.0439
PHOL,Phole,NA,6645,27.6858,88.01
NAUL,Naulekh,NA,6340,27.6869,86.9047
JANE,Jannu East,Khumbhakarna East,7460,27.6879,88.0608
KANS,Kangchenjunga South,NA,8476,27.6917,88.1543
KANC,Kangchenjunga Central,NA,8473,27.6964,88.1508
KANG,Kangchenjunga,NA,8586,27.7025,88.1467
YALU,Yalung Kang,Yalungkar,8505,27.7053,88.136
MERA,Mera Peak,"""False"" Mera Peak",6470,27.7086,86.8706
KANB,Kangbachen,Kambachen,7902,27.7167,88.1102
KBNE,Kangbachen East,Kambachen East,7780,27.7175,88.1581
ANID,Anidesh Chuli,White Wave Peak,6808,27.7186,88.0708
KUSU,Kusum Kanguru,"Kusum Kang, Lamu",6370,27.7306,86.7908
KARY,Karyolung,NA,6530,27.7336,86.612
GIMM,Gimmigela Chuli,Twins,7350,27.7401,88.1586
MERR,Merra,NA,6334,27.7408,88.0197
RAMT,Ramtang,NA,6601,27.7508,88.0958
SPH1,Sharphu I,Tanga I,6433,27.7522,87.9197
NUMB,Numbur,NA,6958,27.7544,86.5731
KYAS,Kyashar,"Peak 43, Tangnag Tseng",6770,27.7553,86.825
KHAT,Khatang,NA,6790,27.7575,86.5983
SPH2,Sharphu II,Tanga II,6328,27.7578,87.9217
TAPL,Taple Shikhar,Cross Peak,6447,27.7611,88.1478
MOJC,Mojca,Mojka,6024,27.7706,88.0506
TUTS,Tutse,"Peak 6, Nephu",6758,27.7719,87.1014
PK41,Peak 41,"""True"" Mera Peak",6648,27.7739,86.9114
CHAM,Chamlang,NA,7321,27.7756,86.9797
NEPA,Nepal Peak,NA,7177,27.7768,88.1828
